"","x"
"1162","Ptms"
"1163","Ptov1"
"1164","Ptp4a2"
"1165","Ptp4a3"
"1166","Ptplad1"
"1167","Ptpn11"
"1168","Ptpra"
"1169","Ptprs"
"1170","Ptrh2"
"1171","Pttg1"
"1172","Ptx3"
"1173","Puf60"
"1174","Pvr"
"1175","Pvrl2"
"1176","Pvt1"
"1177","Qsox1"
"1178","Rab1"
"1179","Rab10"
"1180","Rab14"
"1181","Rab18"
"1182","Rab1b"
"1183","Rab24"
"1184","Rab2a"
"1185","Rab31"
"1186","Rab34"
"1187","Rab5c"
"1188","Rab7"
"1189","Rab8a"
"1190","Rab8b"
"1191","Rabac1"
"1192","Rabgef1"
"1193","Rabggtb"
"1194","Rad23b"
"1195","Rala"
"1196","Ralb"
"1197","Ralbp1"
"1198","Rarg"
"1199","Rars"
"1200","Rasa4"
"1201","Rb1cc1"
"1202","Rbbp4"
"1203","Rbm17"
"1204","Rbm18"
"1205","Rbm25"
"1206","Rbm39"
"1207","Rbm5"
"1208","Rbms1"
"1209","Rbms3"
"1210","Rbpj"
"1211","Rcc2"
"1212","Rchy1"
"1213","Rcn1"
"1214","Rcn2"
"1215","Rcn3"
"1216","Rdx"
"1217","Reep3"
"1218","Rexo2"
"1219","Rfk"
"1220","Rgs19"
"1221","Rhoa"
"1222","Rhob"
"1223","Rhoc"
"1224","Rhoj"
"1225","Ripk3"
"1226","Rnasek"
"1227","Rnf10"
"1228","Rnf11"
"1229","Rnf14"
"1230","Rnf187"
"1231","Rnf6"
"1232","Rnft1"
"1233","Rnh1"
"1234","Rnpep"
"1235","Rnps1"
"1236","Rock1"
"1237","Rock2"
"1238","Rp9"
"1239","Rpa1"
"1240","Rpl22"
"1241","Rpl34"
"1242","Rpl35"
"1243","Rpl7l1"
"1244","Rpl8"
"1245","Rpn1"
"1246","Rpn2"
"1247","Rpp21"
"1248","Rpp30"
"1249","Rps11"
"1250","Rps19bp1"
"1251","Rps24"
"1252","Rps27l"
"1253","Rps3"
"1254","Rps5"
"1255","Rps8"
"1256","Rqcd1"
"1257","Rragc"
"1258","Rras"
"1259","Rrbp1"
"1260","Rrm1"
"1261","Rrm2"
"1262","Rrp1"
"1263","Rsl1d1"
"1264","Rsu1"
"1265","Rtn3"
"1266","Rtn4"
"1267","Runx1"
"1268","Ruvbl2"
"1269","Rwdd1"
"1270","Ryk"
"1271","S100a1"
"1272","S100a10"
"1273","S100a13"
"1274","Sac3d1"
"1275","Sacm1l"
"1276","Sae1"
"1277","Samd8"
"1278","Samhd1"
"1279","Samm50"
"1280","Sar1a"
"1281","Sar1b"
"1282","Sars"
"1283","Sbds"
"1284","Sbsn"
"1285","Sc5d"
"1286","Scd2"
"1287","Scfd1"
"1288","Scoc"
"1289","Sdc2"
"1290","Sdcbp"
"1291","Sdf2"
"1292","Sdf4"
"1293","Sdha"
"1294","Sdhb"
"1295","Sdhc"
"1296","Sdpr"
"1297","Sec22b"
"1298","Sec23a"
"1299","Sec23ip"
"1300","Sec24d"
"1301","Sec31a"
"1302","Sec61a1"
"1303","Sec62"
"1304","Seh1l"
"1305","Sel1l"
"1306","Selk"
"1307","Sept11"
"1308","Sept9"
"1309","Serbp1"
"1310","Serinc1"
"1311","Serp1"
"1312","Serpine1"
"1313","Serpine2"
"1314","Serpinf1"
"1315","Serpinh1"
"1316","Sf3a3"
"1317","Sf3b1"
"1318","Sf3b2"
"1319","Sf3b5"
"1320","Sft2d1"
"1321","Sfxn1"
"1322","Sfxn3"
"1323","Sgpl1"
"1324","Sh3bgrl3"
"1325","Sh3glb1"
"1326","Sh3pxd2a"
"1327","Shfm1"
"1328","Shisa5"
"1329","Shmt2"
"1330","Shoc2"
"1331","Sidt2"
"1332","Sirt2"
"1333","Siva1"
"1334","Skap2"
"1335","Skil"
"1336","Skp1a"
"1337","Slc25a1"
"1338","Slc25a12"
"1339","Slc25a17"
"1340","Slc30a7"
"1341","Slc31a1"
"1342","Slc35b1"
"1343","Slc35e4"
"1344","Slc38a2"
"1345","Slc39a13"
"1346","Slc39a6"
"1347","Slc3a2"
"1348","Slc44a2"
"1349","Slc48a1"
"1350","Slc50a1"
"1351","Slc5a3"
"1352","Slc6a6"
"1353","Slco2a1"
"1354","Slmo2"
"1355","Smarca4"
"1356","Smarcb1"
"1357","Smarcc1"
